x
Smp_050220,-2.52,21.94
Smp_148770,2.96,21.93
Smp_065210,-2.46,21.9
Smp_199660,2.16,21.84
Smp_187190,3.1,21.84
Smp_137120,2.43,21.73
Smp_155310,6.04,21.68
Smp_041880,6.3,21.68
Smp_145020,4.6,21.68
Smp_001610,-1.86,21.48
Smp_024820,-1.59,21.37
Smp_211020,-3.45,21.3
Smp_163080,-2.04,21.3
Smp_175900,-1.98,21.23
Smp_181440,-2.38,21.2
Smp_214180,-2.29,21.16
Smp_170280,-2.11,21.14
Smp_167650,-2.16,21.05
Smp_246840,2.25,21.02
Smp_154560,-2.1,21
Smp_166340,-2.27,20.89
Smp_007270,-2.14,20.88
Smp_005500,1.99,20.78
Smp_013950,2.26,20.67
Smp_151420,-2.17,20.64
Smp_199540,5.26,20.55
Smp_148120,1.86,20.54
Smp_063070,-2.43,20.53
Smp_241440,5.35,20.52
Smp_246350,-2.96,20.49
Smp_045360,-2.05,20.45
Smp_121190,-2.74,20.37
Smp_077180,2.35,20.34
Smp_098650,-2.05,20.31
Smp_243280,2.03,20.11
Smp_011700,-1.87,20.08
Smp_244150,-2.81,20.08
Smp_153390,-2.17,20.06
Smp_008710,-2.7,20.02
Smp_000280,5.77,20
Smp_194750,5.03,19.95
Smp_039300,-2.52,19.86
Smp_198960,-2.65,19.85
Smp_099090,2.89,19.8
Smp_134550,-3.11,19.68
Smp_158520,2.4,19.64
Smp_136070,-2.58,19.64
Smp_074560,-2.02,19.55
Smp_174880,-2.39,19.55
Smp_179600,7.6,19.53
Smp_141980,-2.3,19.39
Smp_160880,-2.71,19.38
Smp_144440,6.02,19.37
Smp_134590,1.94,19.27
Smp_078720,4.04,19.26
Smp_212280,-1.98,19.24
Smp_135110,-3.3,19.18
Smp_130450,4.43,19.14
Smp_084830,1.88,19.12
Smp_247030,-2.54,18.79
Smp_161600,-4.11,18.73
Smp_004080,1.75,18.72
Smp_077980,-2.12,18.7
Smp_244080,-2.34,18.67
Smp_054350,-3.87,18.66
Smp_139980,-2.74,18.65
Smp_143750,2.12,18.65
Smp_147390,-2.56,18.62
Smp_047870,-1.6,18.6
Smp_062070,1.86,18.55
Smp_133830,-2.2,18.48
Smp_149740,-1.98,18.43
Smp_126990,-2.24,18.38
Smp_068500,-2.66,18.34
Smp_123080,-2.77,18.33
Smp_083770,3.2,18.29
Smp_128760,-2.92,18.22
Smp_128250,-3.45,18.19
Smp_146910,-2.93,18.18
Smp_162520,-2.95,18.13
Smp_076950,1.51,18.12
Smp_172570,1.9,18.07
Smp_160710,1.7,18.03
Smp_061210,1.96,17.95
Smp_175510,-2.53,17.94
Smp_048560,-2.03,17.93
Smp_137700,2.43,17.93
Smp_124910,-2.54,17.87
Smp_057090,-2,17.86
Smp_000320,-2.18,17.85
Smp_122980,-2.34,17.84
Smp_045220,-2.23,17.8
Smp_159160,-2.09,17.79
Smp_244270,-2.45,17.78
Smp_159570,-1.79,17.77
Smp_141070,-2.66,17.76
Smp_142980,-2.31,17.76
Smp_157820,1.96,17.76
Smp_155050,-2.4,17.64
Smp_167460,-2.53,17.64
Smp_072740,1.53,17.62
Smp_169090,4.23,17.6
Smp_136910,1.53,17.6
Smp_144700,1.55,17.58
Smp_068990,1.6,17.52
Smp_082490,1.95,17.48
Smp_180760,-2.12,17.47
Smp_199830,2.58,17.42
Smp_000390,6.09,17.41
Smp_125440,-2.28,17.38
Smp_147680,-2.6,17.3
Smp_194960,-2,17.29
Smp_246150,-2.6,17.25
Smp_156770,-2.06,17.24
Smp_244400,-2.13,17.24
Smp_033250,4.88,17.23
Smp_011960,2.24,17.23
Smp_157670,-2.53,17.21
Smp_165470,-1.7,17.12
Smp_167630,-2.05,17.09
Smp_126510,-2.3,17.09
Smp_158230,-1.93,17.03
Smp_049270,-1.73,16.98
Smp_151140,-1.68,16.97
Smp_141520,-2.86,16.9
Smp_178260,1.76,16.84
Smp_077890,6,16.8
Smp_124050,-3.64,16.78
Smp_000410,5.78,16.78
Smp_243970,-2.13,16.77
Smp_196290,1.54,16.64
Smp_177000,-2.37,16.63
Smp_129920,5.43,16.62
Smp_153780,-2.99,16.54
Smp_246430,-1.42,16.51
Smp_156340,1.64,16.45
Smp_024970,1.35,16.42
Smp_125730,-2.25,16.38
Smp_139200,-2.53,16.38
Smp_167160,-1.84,16.37
Smp_139520,-1.54,16.37
Smp_123300,-3.62,16.36
Smp_017420,-2.17,16.35
Smp_242970,-2.56,16.32
Smp_142050,-1.82,16.31
Smp_201060,-2.06,16.28
Smp_162800,-1.47,16.2
Smp_032500,1.85,16.17
Smp_027920,2.18,16.17
Smp_163660,-1.84,16.16
Smp_000420,5.37,16.16
Smp_163060,3.33,16.12
Smp_014620,1.37,16.09
Smp_129830,-2.46,16.07
Smp_096390,-2.55,16.05
Smp_140800,-1.6,16.04
Smp_018280,1.34,16.03
Smp_165060,-1.87,15.99
Smp_076030,-1.64,15.96
Smp_073270,-2.1,15.96
Smp_140990,-2.47,15.92
Smp_096410,-2.4,15.92
Smp_138430,-1.45,15.88
Smp_247290,-2.46,15.88
Smp_009600,1.51,15.86
Smp_058240,1.45,15.86
Smp_025620,-1.93,15.83
Smp_010820,-1.88,15.83
Smp_062970,-1.85,15.83
Smp_172520,-2.78,15.76
Smp_050470,1.39,15.72
Smp_054820,1.33,15.7
Smp_130950,-2,15.66
Smp_157800,1.54,15.66
Smp_241620,5.64,15.65
Smp_062560,-3.01,15.63
Smp_244170,1.92,15.62
Smp_167660,2.22,15.6
Smp_158600,1.68,15.57
Smp_174450,1.85,15.57
Smp_024370,-1.69,15.55
Smp_034550,-2.96,15.51
Smp_035220,-1.87,15.48
Smp_180240,-2.35,15.48
Smp_035300,1.3,15.46
Smp_140600,-2.87,15.46
Smp_005280,1.43,15.45
Smp_146180,3.24,15.45
Smp_154970,-2.3,15.43
Smp_150200,1.43,15.42
Smp_160160,2.57,15.41
Smp_015670,-2.95,15.39
Smp_101280,1.29,15.39
Smp_000430,6.18,15.38
Smp_122050,2.04,15.37
Smp_140030,-1.91,15.37
Smp_241470,-2.31,15.33
Smp_137660,1.79,15.3
Smp_196250,-2.06,15.26
Smp_154850,-2.38,15.25
Smp_049330,1.43,15.23
Smp_149130,-1.45,15.22
