id,lu2016,meta
Smp_012720,-1.3470,-1.42781255677381
Smp_012740,0.6689,0.559954797908802
Smp_012750,-2.0028,-2.10220981980262
Smp_012780,2.4189,2.32875886131684
Smp_012790,-1.0200,-1.13772776017101
Smp_012860,-1.3663,-1.43782884312978
Smp_012900,-0.4500,-0.556289620009632
Smp_012930,-0.8077,-0.905339853911075
Smp_012980,-0.8729,-0.984547865167642
Smp_013080,4.3742,4.20826083230951
Smp_013200,-2.2149,-2.3212342034718
Smp_013210,-2.2732,-4.56367198187633
Smp_013300,-0.7426,-0.852089039080388
Smp_013370,-0.7625,-0.8299045859207
Smp_013470,-2.0091,-2.11535146463963
Smp_013520,-0.7200,-0.820852687230807
Smp_013540,-8.2472,-6.92916546017439
Smp_013610,1.4164,1.31368053003515
Smp_013790,1.5438,1.45532935843688
Smp_013860,-1.8739,-1.77170906867153
Smp_013870,-0.9306,-1.02253366319879
Smp_013930,-0.8020,-0.88431012894553
Smp_014080,3.8523,3.48978576919496
Smp_014170,1.2731,1.15974400024605
Smp_014430,1.8426,1.8408635511912
Smp_014570,1.5449,1.33620663151955
Smp_014620,-1.1674,-1.20287481807364
Smp_014650,-1.9147,-2.00597731258798
Smp_014680,8.3181,7.90311242655333
Smp_014780,-0.9645,-1.0611343923555
Smp_014800,0.7152,0.610561151136483
Smp_014840,3.8530,3.03044331551393
Smp_015020,1.1225,1.03962472048522
Smp_015050,-0.8152,-0.852022994458447
Smp_015190,5.0164,5.00957548804235
Smp_015390,-0.4830,-0.579342921038114
Smp_015440,-1.3852,-1.46485014513506
Smp_015530,0.8071,0.705322808895863
Smp_015690,-1.9675,-2.07539626307839
Smp_015710,-0.8550,-0.97051448093652
Smp_015720,-1.5360,-1.6154636056057
Smp_015730,-0.5777,-0.688263678702356
Smp_015760,2.1757,1.99677478339144
Smp_015820,7.5431,6.65403356490778
Smp_015860,-0.7637,-0.843653790304452
Smp_015880,-0.5705,-0.693114788143953
Smp_016200,-0.9896,-1.10725056739613
Smp_016250,1.1309,1.03398172979574
Smp_016380,0.7163,0.607102796844182
Smp_016410,-1.5389,-1.6420394210968
Smp_016490,2.5596,2.21618654612241
Smp_016540,2.6830,2.49231392585866
Smp_016550,-0.4324,-0.530415624571763
Smp_016640,-1.7291,-1.78284334954377
Smp_016730,2.0529,1.91108571553022
Smp_016890,-1.0527,-1.14771928485026
Smp_016900,-1.9033,-2.03072641139327
Smp_016910,-1.4801,-1.54501404084517
Smp_016990,-1.3581,-1.42184059411862
Smp_017010,-1.1646,-1.25712243901589
Smp_017280,-2.0068,-2.11070150263595
Smp_017290,1.0738,1.03441599782007
Smp_017420,1.8864,1.84075413168507
Smp_017430,-1.8868,-1.97245632357413
Smp_017520,2.8701,2.710484465442
Smp_017710,-0.6150,-0.638882871184583
Smp_017730,1.9868,1.8712831358833
Smp_017860,-2.3898,-2.24700942074112
Smp_017870,5.2515,4.91554907990348
Smp_017890,-0.6504,-0.741256332430932
Smp_017900,1.3726,1.29956875204393
Smp_017990,-1.1796,-1.30800847539565
Smp_018010,-3.4458,-3.53717714490114
Smp_018030,-0.5040,-0.63415902149796
Smp_018210,-0.5176,-0.616961062380385
Smp_018220,-0.9894,-1.08001180562613
Smp_018260,-0.4539,-0.52778382797844
Smp_018280,-1.6147,-1.71885590373548
Smp_018360,-1.8903,-1.96676385074775
Smp_018400,-1.2908,-1.27073042596536
Smp_018430,0.6889,0.613871027259936
Smp_018440,4.3927,3.69401167029004
Smp_018460,-1.5546,-1.61555280591602
Smp_018530,-1.6287,-1.73067822075953
Smp_018570,-0.9478,-1.06523779624224
Smp_018640,1.1498,1.03042245035555
Smp_018710,-0.5989,-0.634523912690973
Smp_018870,2.5926,2.50370849089691
Smp_018940,8.0802,7.4364246054683
Smp_018950,-0.9081,-0.97879596006872
Smp_018990,-1.7414,-1.85075259268133
Smp_019040,1.1720,1.10826234335212
Smp_019060,-1.3569,-1.45163944549948
Smp_019100,-1.0300,-1.13043969982013
Smp_019130,-0.5788,-0.680057238964832
Smp_019200,12.3721,11.1166867289903
Smp_019260,-0.4626,-0.557965561042284
Smp_019280,-0.9646,-1.04925823752678
Smp_019340,-0.3846,-0.496363080267338
Smp_019350,1.5154,1.34898552987812
Smp_019430,-1.0599,-1.16435245423083
Smp_019630,1.4056,1.31153774999847
Smp_019680,0.9020,0.793541915982895
Smp_019690,-0.6024,-0.703575890894696
Smp_019730,1.0787,0.965812245765806
Smp_019760,0.7688,0.666992929554272
Smp_019790,-0.8108,-0.895875685686834
Smp_019810,1.8344,1.71233712091757
Smp_019820,1.0540,0.737833872532734
Smp_019860,-0.7522,-0.921115225104966
Smp_019880,-0.4356,-0.545931712717221
Smp_019920,-1.7251,-1.66324841514307
Smp_019980,-0.7073,-0.800687905276131
Smp_020050,-0.3550,-0.451112360852564
Smp_020070,1.4259,1.31941020169914
Smp_020080,2.2394,2.09509687008206
Smp_020120,-0.9178,-0.994385813899331
Smp_020200,-0.7992,-0.914605310489735
Smp_020210,-0.4826,-0.59983469021636
Smp_020270,1.6298,1.43988673494595
Smp_020340,3.0297,2.90147167148312
Smp_020480,-0.9063,-0.990896421297973
Smp_020540,6.3497,5.5226115872398
Smp_020760,1.3309,1.22444455045128
Smp_020800,-1.2438,-1.33066324976002
Smp_021040,-0.8002,-0.886472057978522
Smp_021070,-1.5283,-1.60565190100923
Smp_021080,-0.7571,-0.83999311473277
Smp_021100,1.3728,1.26212165507525
Smp_021130,-0.6126,-0.731256840114737
Smp_021140,-1.5635,-1.66614255639872
Smp_021160,-0.7879,-0.898510574952952
Smp_021170,-1.6989,-1.77371556324548
Smp_021260,2.6663,2.73854625547978
Smp_021290,-0.6140,-0.720559294620351
Smp_021300,-1.8950,-1.92787613805232
Smp_021330,-0.4740,-0.599475921678809
Smp_021340,1.3244,1.24002563958501
Smp_021370,0.8470,0.773131855807737
Smp_021390,2.9947,2.85980859035727
Smp_021550,-0.6615,-0.712686454558357
Smp_021760,-0.6614,-0.751867097465739
Smp_021790,4.3991,4.28682317966454
Smp_021830,-0.6089,-0.613245733497357
Smp_021910,-0.5748,-0.648279700735625
Smp_022090,-0.8607,-0.97469772256288
Smp_022110,-0.9044,-0.986386319500218
Smp_022130,0.8654,0.787751613838236
Smp_022140,-1.1399,-1.25850997178032
Smp_022330,1.1130,0.625559956207643
Smp_022500,0.6025,0.508085705602201
Smp_022560,-1.4296,-1.53885751659097
Smp_022570,1.1714,1.0767744100144
Smp_022640,-1.9802,-2.08196677430406
Smp_022660,-1.1865,-1.26364745397445
Smp_022700,1.1264,1.04246755732094
Smp_022730,-1.2407,-1.36899607185286
Smp_022810,-0.5206,-0.647946856928741
Smp_022850,0.6959,0.59888001656759
Smp_022870,4.8854,4.63326228351476
